Unnamed: 0,Player,Age,Team,Pos,Rank,FG,P3
106,Mikal Bridges,29,NYK,SF,7,0.49,0.371
107,Walker Kessler,24,UTA,C,5,0.703,0.75
108,Anfernee Simons,26,CHI,SG,7,0.44,0.385
109,Jeremiah Fears,19,NOP,PG,6,0.434,0.33
110,Cormac Ryan,27,MIL,SG,7,0.52,0.458
111,Scoot Henderson,21,POR,PG,6,0.418,0.352
112,P.J. Washington,27,DAL,PF,7,0.45,0.325
113,Ivica Zubac,28,IND,C,8,0.598,
114,Tre Jones,26,CHI,PG,6,0.553,0.315
115,Kelly Oubre Jr.,30,PHI,SF,6,0.467,0.36
116,Santi Aldama,25,MEM,PF,7,0.479,0.35
117,Keegan Murray,25,SAC,PF,6,0.42,0.277
118,Devin Vassell,25,SAS,SG,7,0.437,0.384
119,Ace Bailey,19,UTA,SF,4,0.443,0.344
120,Aaron Nesmith,26,IND,SF,7,0.414,0.379
121,Brandin Podziemski,22,GSW,SG,7,0.455,0.371
122,Jalen Suggs,24,ORL,PG,6,0.435,0.339
123,De'Andre Hunter,28,SAC,SF,5,0.415,0.305
124,Bobby Portis,30,MIL,PF,6,0.488,0.456
125,John Collins,28,LAC,PF,7,0.552,0.406
126,Cedric Coward,22,MEM,SG,6,0.471,0.338
127,Zach Edey,23,MEM,C,5,0.633,0.2
128,Ajay Mitchell,23,OKC,SG,7,0.485,0.347
129,Naz Reid,26,MIN,C,6,0.456,0.362
130,Cam Thomas,24,MIL,SG,5,0.41,0.31
131,Tim Hardaway Jr.,33,DEN,SG,6,0.447,0.407
132,Reed Sheppard,21,HOU,SG,6,0.43,0.394
133,Toumani Camara,25,POR,PF,5,0.44,0.37
134,Quentin Grimes,25,PHI,SG,5,0.45,0.334
135,Jordan Poole,26,NOP,PG,5,0.372,0.333
136,Tobias Harris,33,DET,PF,8,0.469,0.368
137,Keldon Johnson,26,SAS,SF,6,0.519,0.363
138,Jaylon Tyson,23,CLE,SG,6,0.493,0.446
139,Kyle Kuzma,30,MIL,PF,4,0.492,0.347
140,Brandon Williams,26,DAL,PG,6,0.472,0.232
141,Sam Merrill,29,CLE,SG,5,0.461,0.421
142,Collin Gillespie,26,PHO,PG,6,0.418,0.401
143,Deandre Ayton,27,LAL,C,7,0.671,
144,GG Jackson II,21,MEM,PF,4,0.496,0.332
145,Malik Monk,27,SAC,SG,4,0.438,0.395
146,Maxime Raynaud,22,SAC,C,3,0.571,0.324
147,Jaylen Wells,22,MEM,SG,3,0.431,0.353
148,Max Christie,22,DAL,SG,5,0.441,0.404
149,Noah Clowney,21,BRK,PF,9,0.396,0.329
150,De'Anthony Melton,27,GSW,PG,6,0.407,0.294
151,Jonathan Kuminga,23,ATL,PF,6,0.463,0.333
152,Donte DiVincenzo,29,MIN,SG,5,0.406,0.379
153,Cameron Johnson,29,DEN,SF,5,0.48,0.43
154,Tre Johnson,19,WAS,SG,7,0.419,0.358
155,Duncan Robinson,31,DET,SF,7,0.456,0.41
156,Donovan Clingan,21,POR,C,4,0.52,0.341
157,Moses Moody,23,GSW,SG,5,0.44,0.401
158,Christian Braun,24,DEN,SG,4,0.519,0.301
159,Josh Hart,30,NYK,SF,6,0.508,0.413
160,Miles McBride,25,NYK,SG,5,0.423,0.413
161,Tristen Newton,24,HOU,SG,5,0.444,0.4
162,Dyson Daniels,22,ATL,SG,5,0.517,0.188
163,Blake Hinson,26,UTA,SF,3,0.513,0.468
164,Myles Turner,29,MIL,C,3,0.44,0.383
165,Wendell Carter Jr.,26,ORL,C,5,0.512,0.319
166,Dylan Harper,19,SAS,SG,5,0.505,0.343
167,Julian Reese,22,WAS,PF,6,0.529,
168,Nic Claxton,26,BRK,C,8,0.571,0.158
169,Isaiah Collier,21,UTA,PG,2,0.495,0.27
170,Bilal Coulibaly,21,WAS,SG,5,0.425,0.319
171,Derik Queen,21,NOP,C,4,0.473,0.261
172,Klay Thompson,35,DAL,SF,4,0.393,0.383
173,Mark Williams,24,PHO,C,5,0.644,1.0
174,Obi Toppin,27,IND,PF,6,0.503,0.352
175,Jarace Walker,22,IND,PF,5,0.419,0.374
176,Rui Hachimura,27,LAL,PF,6,0.514,0.443
177,Kyle Filipowski,22,UTA,C,1,0.492,0.325
178,Pelle Larsson,24,MIA,SG,5,0.496,0.323
179,Scotty Pippen Jr.,25,MEM,PG,2,0.448,0.313
180,Sandro Mamukelashvili,26,TOR,C,6,0.523,0.389
181,Max Strus,29,CLE,SF,4,0.443,0.402
182,Julian Champagnie,24,SAS,SF,4,0.437,0.381
183,Isaiah Joe,26,OKC,SG,6,0.455,0.423
184,Cam Spencer,25,MEM,SG,1,0.473,0.449
185,Kel'el Ware,21,MIA,C,4,0.53,0.395
186,Alondes Williams,26,WAS,SG,4,0.615,0.357
187,Rudy Gobert,33,MIN,C,4,0.682,0.0
188,Dennis Schröder,32,CLE,PG,3,0.405,0.329
189,Daeqwon Plowden,27,SAC,SG,2,0.43,0.333
190,Bub Carrington,20,WAS,PG,3,0.424,0.408
191,Jakob Poeltl,30,TOR,C,5,0.7,
192,Jock Landale,30,ATL,C,4,0.515,0.383
193,Marvin Bagley III,26,DAL,PF,3,0.618,0.462
194,Tari Eason,24,HOU,PF,4,0.416,0.358
195,A.J. Green,26,MIL,SG,2,0.424,0.419
